Variable,Best Value,Test Accuracy,Val Accuracy,Train Accuracy
aggregation,mean,0.7739999890327454,0.7580000162124634,1.0
hidden_channels,32,0.7910000085830688,0.7480000257492065,1.0
dropout,0.8,0.7889999747276306,0.777999997138977,1.0
num_layers,3,0.8119999766349792,0.7680000066757202,1.0
