Variable,Best Value,Test Accuracy,Val Accuracy,Train Accuracy
hidden_channels,256,0.7929999828338623,0.7699999809265137,1.0
activation,leaky_relu,0.796999990940094,0.7820000052452087,1.0
dropout,0.4,0.8050000071525574,0.7940000295639038,1.0
num_layers,2,0.8050000071525574,0.7760000228881836,1.0
