Variable,Best Value,Test Accuracy,Val Accuracy,Train Accuracy
heads,1.0,0.7979999780654907,0.7940000295639038,0.9928571581840515
hidden_channels,32.0,0.7689999938011169,0.7379999756813049,1.0
dropout,0.3,0.7599999904632568,0.7440000176429749,1.0
num_layers,2.0,0.7900000214576721,0.7559999823570251,1.0
